Date;Hour;Location;Time full;Time;Distance_km;Distance;Pace
21/09/2023;20:30:00;Guinardó + Meridiana;0:26:38;1598;5,36;5360;0:04:58
25/09/2023;21:00:00;Sant Pau + Diagonal + Guinardó;0:28:25;1705;5,83;5830;0:04:52
04/10/2023;20:00:00;Sant Pau;0:23:45;1425;4,7;4700;0:05:03
06/10/2023;20:00:00;Meridiana + Can Dragó;0:23:11;1391;4,84;4840;0:04:47
08/10/2023;21:00:00;Diagonal;0:25:59;1559;4,44;4440;0:05:51
10/10/2023;20:00:00;Sant Andreu;0:39:55;2395;7,53;7530;0:05:18
12/10/2023;20:00:00;Padilla abaix + Passeig maritim + Diagonal;0:53:44;3224;10,02;10020;0:05:22
15/10/2023;19:30:00;Padilla abaix + Passeig marítim;0:50:10;3010;10,15;10150;0:04:57
20/10/2023;19:17:00;Padilla abaix + Passeig maritim + Forum + Diagonal;1:02:59;3779;12,9;12900;0:04:53
22/10/2023;9:00:00;Cursa Bombers;0:44:39;2679;10;10000;0:04:28
24/10/2023;19:00:00;Sant Martí;0:31:38;1898;4,7;4700;0:06:44
26/10/2023;19:30:00;Meridiana + Can Dragó;0:29:11;1751;5,51;5510;0:05:18
29/10/2023;10:00:00;La Milla;0:06:17;377;1,7;1700;0:03:42
23/12/2023;20:30:00;Diagonal;0:25:11;1511;4,33;4330;0:05:49
30/12/2023;21:19:00;Diagonal;0:24:59;1499;4,36;4360;0:05:44
31/12/2023;17:32:00;Cursa Nassos;1:00:59;3659;10,48;10480;0:05:49
21/01/2024;16:15:00;Can Dragó;0:15:59;959;3,14;3140;0:05:05
22/01/2024;19:57:00;Glories;0:16:28;988;2,83;2830;0:05:49
23/01/2024;22:10:00;Can Dragó;0:21:33;1293;4,63;4630;0:04:39
25/01/2024;20:00:00;Meridiana + Can Dragó;0:33:33;2013;6,38;6380;0:05:16
30/01/2024;20:20:00;Meridiana + Can Dragó;0:24:27;1467;5;5000;0:04:53
04/02/2024;16:30:00;Diagonal + Passeig marítim;0:49:32;2972;10,05;10050;0:04:56
07/02/2024;20:20:00;Passeig marítim;0:39:47;2387;8,23;8230;0:04:50
08/02/2024;20:15:00;Glories;0:33:32;2012;5,52;5520;0:06:04
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
